"NetC","SIMAGE Brindisi","","","","","","","","","","",""
"Stat","valzani_sanpietrovernotico","","","","","","","","","","",""
,NOX,NO2,SO2,CO,O3
25/06/2011 5.00,"15,9","15,7","0,8","0,2",
25/06/2011 6.00,"14,4","13,8","1,2","0,2",
25/06/2011 7.00,"13,4","12,7","1,1","0,3",
25/06/2011 8.00,"16,3",13,"0,8","0,3",
25/06/2011 9.00,"13,4","12,8","0,8","0,3",
25/06/2011 10.00,"13,1","11,4","1,2","0,3",
25/06/2011 11.00,"13,9","11,8",1,"0,3",
25/06/2011 12.00,"12,2","10,2","0,8","0,2",
25/06/2011 13.00,"9,7","9,3","1,1","0,3",
25/06/2011 14.00,"8,9","8,1","1,1","0,2",
25/06/2011 15.00,"9,6","8,2","0,8","0,2",
25/06/2011 16.00,"9,2","8,2","0,8","0,2",
25/06/2011 17.00,"9,1","8,4","0,8","0,2",
25/06/2011 18.00,10,"8,9","0,8","0,2",
25/06/2011 19.00,,,,,
25/06/2011 20.00,,,,,
25/06/2011 21.00,,,,,
25/06/2011 22.00,,,,,
25/06/2011 23.00,,,,,
26/06/2011 0.00,,,,,
26/06/2011 1.00,,,,,
26/06/2011 2.00,,,,,
26/06/2011 3.00,,,,,
26/06/2011 4.00,,,,,
26/06/2011 5.00,,,,,
26/06/2011 6.00,,,,,
26/06/2011 7.00,,,,,
26/06/2011 8.00,,,,,
26/06/2011 9.00,,,,,
26/06/2011 10.00,,,,,
26/06/2011 11.00,,,,,
26/06/2011 12.00,,,,,
26/06/2011 13.00,,,,,
26/06/2011 14.00,,,,,
26/06/2011 15.00,,,,,
26/06/2011 16.00,,,,,
26/06/2011 17.00,,,,,
26/06/2011 18.00,,,,,
26/06/2011 19.00,,,,,
26/06/2011 20.00,,,,,
26/06/2011 21.00,,,,,
26/06/2011 22.00,,,,,
26/06/2011 23.00,,,,,
27/06/2011 0.00,,,,,
27/06/2011 1.00,,,,,
27/06/2011 2.00,,,,,
27/06/2011 3.00,,,,,
27/06/2011 4.00,,,,,
27/06/2011 5.00,,,,,
27/06/2011 6.00,,,,,
27/06/2011 7.00,,,,,
27/06/2011 8.00,,,,,
27/06/2011 9.00,,,,,
27/06/2011 10.00,,,,,
27/06/2011 11.00,,,,,
27/06/2011 12.00,,,,,
27/06/2011 13.00,,,,,
27/06/2011 14.00,,,,,
27/06/2011 15.00,,,,,
27/06/2011 16.00,,,,,
27/06/2011 17.00,,,,,
27/06/2011 18.00,,,,,
27/06/2011 19.00,,,,,
27/06/2011 20.00,,,,,
27/06/2011 21.00,,,,,
27/06/2011 22.00,,,,,
27/06/2011 23.00,,,,,
28/06/2011 0.00,,,,,
28/06/2011 1.00,,,,,
28/06/2011 2.00,,,,,
28/06/2011 3.00,,,,,
28/06/2011 4.00,,,,,
28/06/2011 5.00,,,,,
28/06/2011 6.00,,,,,
28/06/2011 7.00,,,,,
28/06/2011 8.00,,,,,
28/06/2011 9.00,,,,,
28/06/2011 10.00,,,,,
28/06/2011 11.00,,,,,
28/06/2011 12.00,,,,,
28/06/2011 13.00,,,,,
28/06/2011 14.00,"11,4","10,6","2,5","0,3","89,2"
28/06/2011 15.00,9,"8,5","2,7","0,3","88,6"
28/06/2011 16.00,"10,3","9,3","2,4","0,3","90,5"
28/06/2011 17.00,"10,2","9,2","1,8","0,3","91,4"
28/06/2011 18.00,"12,1","11,5","1,8","0,3","92,3"
28/06/2011 19.00,"14,3",13,"1,7","0,3","92,8"
28/06/2011 20.00,"17,5","16,9","1,7","0,3","88,5"
28/06/2011 21.00,"21,7","21,5","1,8","0,3","78,2"
28/06/2011 22.00,"17,2",16,"1,8","0,3","74,1"
28/06/2011 23.00,"14,7","13,8","1,8","0,3","72,1"
29/06/2011 0.00,"12,3","11,7","1,6","0,2","73,6"
29/06/2011 1.00,"11,1","10,7","1,6","0,2","73,3"
29/06/2011 2.00,,,"1,3","0,2","73,5"
29/06/2011 3.00,,,"1,6",,"71,7"
29/06/2011 4.00,"23,1","20,8",,"0,2","65,1"
29/06/2011 5.00,"16,6","15,9","0,9","0,2",
29/06/2011 6.00,"33,9","22,2",1,"0,3","57,1"
29/06/2011 7.00,18,"16,6","1,2","0,3","65,1"
29/06/2011 8.00,"15,3","13,7","2,5","0,3","79,3"
29/06/2011 9.00,"11,6","11,3","1,7","0,3","87,7"
29/06/2011 10.00,"10,7","10,8","1,3","0,3","90,6"
29/06/2011 11.00,"10,6","10,4","1,4","0,3","92,9"
29/06/2011 12.00,"11,5","10,9","1,2","0,3","93,6"
29/06/2011 13.00,"11,8","10,8","1,2","0,3","93,3"
29/06/2011 14.00,"20,6","14,2","1,4","0,3",95
29/06/2011 15.00,"13,6","11,4",1,"0,3","99,6"
29/06/2011 16.00,"8,5","8,5","0,8","0,3","101,4"
29/06/2011 17.00,12,"11,3","1,3","0,3","101,6"
29/06/2011 18.00,"12,8","11,7","1,1","0,3",104
29/06/2011 19.00,"14,4","13,5",1,"0,3","103,4"
29/06/2011 20.00,"15,9","15,3","0,8","0,3","96,6"
29/06/2011 21.00,"30,7","29,5",1,"0,3","80,7"
29/06/2011 22.00,"26,4","26,3",1,"0,3","79,1"
29/06/2011 23.00,"27,8","27,3","1,1","0,3","79,8"
30/06/2011 0.00,"16,2","15,8","1,1","0,2","72,2"
30/06/2011 1.00,"15,3",15,"1,3","0,2","66,7"
30/06/2011 2.00,13,"13,2","1,2","0,2",62
30/06/2011 3.00,"11,6","11,7","1,3","0,2","56,4"
30/06/2011 4.00,"13,1","12,1","1,2","0,2",55
30/06/2011 5.00,"14,6","14,4","1,2","0,2","58,8"
30/06/2011 6.00,"21,2","19,4","1,8","0,3","66,2"
30/06/2011 7.00,"28,9","24,4","2,2","0,3","68,6"
30/06/2011 8.00,"20,9","18,4","2,6","0,3",83
30/06/2011 9.00,"19,2","16,7",4,"0,4","95,5"
30/06/2011 10.00,"15,7","14,9","4,9","0,4","106,9"
30/06/2011 11.00,"20,5","16,5","3,9","0,4","122,5"
30/06/2011 12.00,"14,5","14,1",3,"0,4","134,9"
30/06/2011 13.00,"13,9","13,2","3,4","0,4","138,9"
30/06/2011 14.00,"12,4","11,9","3,3","0,3",138
30/06/2011 15.00,"9,4","8,9","2,3","0,3","134,2"
30/06/2011 16.00,"9,4",9,"1,5","0,3","118,9"
30/06/2011 17.00,"14,5","13,3","1,7","0,3","106,7"
30/06/2011 18.00,19,"16,9","1,6","0,3","94,6"
30/06/2011 19.00,"23,1","19,9","1,3","0,3","92,4"
30/06/2011 20.00,"17,8","16,4","1,3","0,3","81,9"
30/06/2011 21.00,"17,4","15,8","1,3","0,3","72,4"
30/06/2011 22.00,"21,6","20,8",1,"0,3","64,9"
30/06/2011 23.00,"20,1","19,7","0,9","0,3","53,8"
01/07/2011 0.00,"21,6","21,6","0,7","0,3","41,3"
01/07/2011 1.00,"16,6","16,3","0,4","0,3","56,9"
01/07/2011 2.00,,,"0,5","0,3","58,3"
01/07/2011 3.00,,,"0,6","0,2","63,8"
01/07/2011 4.00,"20,9",21,,"0,2","57,7"
01/07/2011 5.00,"18,5","17,9","0,9","0,3",
01/07/2011 6.00,"17,9","16,9","0,8","0,3","52,6"
01/07/2011 7.00,"19,4","16,1","0,9","0,3",57
01/07/2011 8.00,"16,9","15,2",1,"0,3","67,7"
01/07/2011 9.00,"15,7","14,1",1,"0,3","79,7"
01/07/2011 10.00,"15,3",13,1,"0,4","82,8"
01/07/2011 11.00,"14,2","12,3",1,"0,3",86
01/07/2011 12.00,"13,6","12,3","1,4","0,3","90,8"
01/07/2011 13.00,"12,5","11,3","1,6","0,3","94,8"
01/07/2011 14.00,"9,9","9,5","1,4","0,3","94,8"
01/07/2011 15.00,"9,5","8,8","1,3","0,3","97,8"
01/07/2011 16.00,"9,9","9,2","1,3","0,3","98,2"
01/07/2011 17.00,"13,1","12,3","1,2","0,3",97
01/07/2011 18.00,"14,5","13,5","1,1","0,3","99,2"
01/07/2011 19.00,"17,5","16,1","1,2","0,3","96,9"
01/07/2011 20.00,23,"22,2","1,2","0,3","87,1"
01/07/2011 21.00,25,"24,4","1,4","0,3","74,6"
01/07/2011 22.00,"23,5","22,7",1,"0,3","54,4"
01/07/2011 23.00,"21,5","21,4","0,8","0,3","47,7"
02/07/2011 0.00,"21,8","21,8","1,1","0,3","53,7"
02/07/2011 1.00,"18,4","16,8","0,5","0,2","69,4"
02/07/2011 2.00,"13,6","13,5","0,4","0,2","63,5"
02/07/2011 3.00,"11,7","11,3","0,2",,"53,2"
02/07/2011 4.00,"12,6","12,5","0,1","0,2","45,5"
02/07/2011 5.00,20,"19,6","0,2","0,2","33,9"
02/07/2011 6.00,"21,5","20,3","0,3","0,3","48,5"
02/07/2011 7.00,"19,4","17,3","0,2","0,3","60,2"
02/07/2011 8.00,"19,4","17,2","0,4","0,3","76,2"
02/07/2011 9.00,"26,1","22,6","1,7","0,3","78,8"
02/07/2011 10.00,"18,4",17,"2,8","0,3","87,2"
02/07/2011 11.00,"17,9","15,6","2,6","0,3","98,7"
02/07/2011 12.00,"17,5","15,7",3,"0,3","101,8"
02/07/2011 13.00,"18,7","16,8","2,7","0,3","103,5"
02/07/2011 14.00,"15,7","14,1","2,5","0,3","104,2"
02/07/2011 15.00,"8,2","7,3","1,4","0,3","106,4"
02/07/2011 16.00,"7,1",7,"0,6","0,3","104,3"
02/07/2011 17.00,"8,3","8,5","0,5","0,3","95,4"
02/07/2011 18.00,"11,2","10,7","0,4","0,3","87,4"
02/07/2011 19.00,"11,7","11,2","0,3","0,3","83,2"
02/07/2011 20.00,"16,8","14,5","0,4","0,3",77
02/07/2011 21.00,"18,1","15,5","0,4","0,3","72,1"
02/07/2011 22.00,13,"11,8","0,3","0,3","64,9"
02/07/2011 23.00,"11,2","10,4","0,3","0,3","65,2"
03/07/2011 0.00,9,"8,9","0,3","0,2",78
03/07/2011 1.00,"8,8","8,6","0,8","0,2","79,1"
03/07/2011 2.00,,,"0,9","0,2","81,4"
03/07/2011 3.00,,,"0,6","0,2","80,8"
03/07/2011 4.00,"19,4","19,5",,"0,2","78,4"
03/07/2011 5.00,"17,7","16,2","0,8","0,2",
03/07/2011 6.00,"13,9","13,8","0,6","0,2",77
03/07/2011 7.00,"12,2","11,6","0,8","0,2","82,2"
03/07/2011 8.00,"9,8","9,4","0,7","0,2",89
03/07/2011 9.00,"12,8","11,5","0,9","0,2","83,8"
03/07/2011 10.00,"11,5","10,1","0,5","0,2","86,5"
03/07/2011 11.00,"10,3","10,2","0,7","0,2","91,6"
03/07/2011 12.00,"10,4","9,4","0,8","0,2","94,2"
03/07/2011 13.00,"9,9","8,9","0,8","0,2","96,5"
03/07/2011 14.00,"10,2","9,7","0,9","0,2","102,2"
03/07/2011 15.00,"10,7",10,"1,2","0,2","107,3"
03/07/2011 16.00,"11,2","10,8","1,3","0,2","109,8"
03/07/2011 17.00,"11,9","11,2","1,3","0,2","107,7"
03/07/2011 18.00,"15,4","14,3","1,5","0,2","103,1"
03/07/2011 19.00,"15,5","15,2","1,8","0,2","97,7"
03/07/2011 20.00,"13,1","12,8",1,"0,2","96,8"
03/07/2011 21.00,"16,5","15,6",1,"0,2","85,5"
03/07/2011 22.00,"18,4","17,5",1,"0,2","64,5"
03/07/2011 23.00,"12,9","12,7","0,9","0,2",64
04/07/2011 0.00,"12,5","12,1","0,5","0,2","65,4"
04/07/2011 1.00,"13,1","13,5","0,8","0,2","56,7"
04/07/2011 2.00,"13,6","13,7","0,9","0,2","52,3"
04/07/2011 3.00,14,"13,3","0,9","0,2","50,7"
04/07/2011 4.00,"14,4","13,8","0,7","0,2","44,4"
04/07/2011 5.00,"13,2","13,4","0,6","0,2","46,4"
04/07/2011 6.00,26,"23,8",1,"0,4","43,9"
04/07/2011 7.00,"23,6","21,9",1,"0,3","63,7"
04/07/2011 8.00,"14,4","13,1",1,"0,3","79,4"
04/07/2011 9.00,"11,9",10,"0,8","0,3","84,7"
04/07/2011 10.00,"13,8","11,9","1,3","0,3","91,5"
04/07/2011 11.00,"12,3","10,7","1,7","0,4","98,1"
04/07/2011 12.00,"11,5","10,7","1,5","0,3",102
04/07/2011 13.00,"9,2","8,3","1,4","0,3","104,6"
04/07/2011 14.00,"6,9","7,4","1,1","0,3","107,5"
04/07/2011 15.00,"7,4",7,"1,2","0,3","110,1"
04/07/2011 16.00,"7,5","7,2","1,1","0,3","114,5"
04/07/2011 17.00,"8,4","8,2","1,3","0,3","111,9"
04/07/2011 18.00,"10,3",10,1,"0,3","110,5"
04/07/2011 19.00,10,"9,8","1,1","0,3","106,4"
04/07/2011 20.00,"10,2","10,4","0,8","0,3","100,8"
04/07/2011 21.00,"15,4","15,1","1,6","0,3","84,1"
04/07/2011 22.00,"12,3","12,2","1,2","0,3","64,6"
04/07/2011 23.00,"12,1","11,7","1,1","0,3","48,2"
05/07/2011 0.00,"12,5","11,6",1,"0,3","45,7"
05/07/2011 1.00,"11,8","10,5","0,9","0,3","48,6"
05/07/2011 2.00,,,"0,9","0,3","48,3"
05/07/2011 3.00,,,"0,9",,"45,1"
05/07/2011 4.00,"16,2","15,8",,"0,2","43,2"
05/07/2011 5.00,"17,3","15,6","0,2","0,2",
05/07/2011 6.00,"16,7","14,6","0,1","0,3","44,6"
05/07/2011 7.00,"18,9","15,7","0,1","0,3","46,4"
05/07/2011 8.00,"19,3","15,8","0,3","0,5","57,4"
05/07/2011 9.00,"17,5","14,6","0,7","0,4","73,5"
05/07/2011 10.00,"15,9","13,8","1,3","0,4","85,4"
05/07/2011 11.00,"18,2","16,8","1,9","0,4","95,7"
05/07/2011 12.00,"18,2","15,8","2,4","0,4","102,6"
05/07/2011 13.00,"22,1","19,2","3,5","0,3","94,4"
05/07/2011 14.00,"10,7","10,5","1,7","0,3","102,2"
05/07/2011 15.00,"13,7",13,"1,5","0,3","97,5"
05/07/2011 16.00,"10,3","10,1","0,6","0,3","90,7"
05/07/2011 17.00,13,"12,3","0,2","0,3","79,4"
05/07/2011 18.00,"23,1","21,4","0,1","0,3","67,2"
05/07/2011 19.00,"20,1",19,"0,2","0,3","60,3"
05/07/2011 20.00,"32,8","28,4","0,2","0,4","43,7"
05/07/2011 21.00,"25,4","24,2","0,2","0,3","39,8"
05/07/2011 22.00,"24,3","21,4","0,1","0,3",31
05/07/2011 23.00,"21,3","20,5","0,2","0,3","29,8"
06/07/2011 0.00,"18,2","18,6","0,1","0,3","44,3"
06/07/2011 1.00,14,"14,1",0,"0,2","58,4"
06/07/2011 2.00,"14,5","14,8",0,"0,2",56
06/07/2011 3.00,16,"15,9",0,"0,2","49,7"
06/07/2011 4.00,"17,7","17,4",0,"0,2","28,9"
06/07/2011 5.00,"16,9","16,8",0,"0,2","39,7"
06/07/2011 6.00,"21,6","19,8",0,"0,2","48,4"
06/07/2011 7.00,"21,7","19,4",0,"0,3","53,8"
06/07/2011 8.00,"22,3","20,1",0,"0,3","71,5"
06/07/2011 9.00,"19,6","17,3",0,"0,3","84,2"
06/07/2011 10.00,"17,1","14,9",0,"0,3","93,5"
06/07/2011 11.00,"21,7","17,4","0,1","0,3","101,2"
06/07/2011 12.00,"16,9","15,6","0,1","0,3","102,1"
06/07/2011 13.00,"13,7","12,3","0,2","0,3","102,4"
06/07/2011 14.00,"11,9","11,6","0,1","0,2","104,7"
06/07/2011 15.00,"12,4","10,7",0,"0,2",102
06/07/2011 16.00,"10,9","10,3",0,"0,2","100,5"
06/07/2011 17.00,"12,4","11,5",0,"0,3","97,6"
06/07/2011 18.00,"13,6","12,9",0,"0,3","94,8"
06/07/2011 19.00,"16,6",15,0,"0,3","92,6"
06/07/2011 20.00,"18,9",18,0,"0,3","86,6"
06/07/2011 21.00,"23,5","22,1",0,"0,3","68,4"
06/07/2011 22.00,"17,3","17,3",0,"0,2","68,3"
06/07/2011 23.00,15,"15,2",0,"0,2","71,2"
07/07/2011 0.00,"17,1","17,5",0,"0,2","63,8"
07/07/2011 1.00,"14,4","14,2","0,1","0,2","58,8"
07/07/2011 2.00,,,"0,1","0,2","56,6"
07/07/2011 3.00,,,"0,1","0,2","62,9"
07/07/2011 4.00,"18,6","18,5",,"0,2","64,5"
07/07/2011 5.00,"18,4",17,"0,6","0,2",
07/07/2011 6.00,19,"17,9","0,7","0,3","56,8"
07/07/2011 7.00,"19,9","17,7","0,7","0,3","59,5"
07/07/2011 8.00,"27,2","23,6","0,6","0,3","70,1"
07/07/2011 9.00,"27,6","23,9","1,5","0,3","77,8"
07/07/2011 10.00,25,21,5,"0,3","75,7"
07/07/2011 11.00,"16,3","14,7","3,7","0,3","85,3"
07/07/2011 12.00,"14,1","12,7",3,"0,3","89,2"
07/07/2011 13.00,"13,8","12,7","2,8","0,3","96,5"
07/07/2011 14.00,"12,3","11,4","3,6","0,3","97,4"
07/07/2011 15.00,"11,8",11,"3,8","0,3","94,8"
07/07/2011 16.00,"12,4","11,8","3,5","0,3","91,1"
07/07/2011 17.00,"12,9","11,9","2,7","0,3",87
07/07/2011 18.00,"16,2","14,6","2,7","0,3",86
07/07/2011 19.00,"16,3","15,7","2,8","0,3","82,3"
07/07/2011 20.00,"21,4","21,4",2,"0,3","70,3"
07/07/2011 21.00,"24,4","23,6","1,4","0,3","59,9"
07/07/2011 22.00,"27,7","27,3",1,"0,3","52,1"
07/07/2011 23.00,"34,4","33,7","1,1","0,3","35,8"
08/07/2011 0.00,"30,1","29,1","0,8","0,3","19,7"
08/07/2011 1.00,"32,4","28,9","0,4","0,3","12,7"
08/07/2011 2.00,"30,2","28,7","0,1","0,3","7,6"
08/07/2011 3.00,"26,6","25,6","0,1",,"14,9"
08/07/2011 4.00,"21,8","21,4","0,1","0,2","18,5"
08/07/2011 5.00,"21,5","21,6","0,1","0,2","31,1"
08/07/2011 6.00,"40,4",33,"0,5","0,3","27,5"
08/07/2011 7.00,"33,7","27,7","0,8","0,3","47,3"
08/07/2011 8.00,"24,3","21,4","0,6","0,3","73,5"
08/07/2011 9.00,"16,7","13,7","0,6","0,3","88,3"
08/07/2011 10.00,"14,1","13,4","1,8","0,3","95,9"
08/07/2011 11.00,11,"10,2","1,3","0,3","99,5"
08/07/2011 12.00,11,"9,7","0,8","0,3","104,2"
08/07/2011 13.00,"11,2","10,4","1,6","0,3","101,1"
08/07/2011 14.00,"8,7","8,3","0,6","0,3","99,8"
08/07/2011 15.00,"8,9","8,2","0,6","0,3",100
08/07/2011 16.00,"9,9","9,1","0,6","0,2","97,8"
08/07/2011 17.00,"10,2","9,6","0,6","0,3","97,7"
08/07/2011 18.00,"12,6","12,1","0,6","0,3","97,2"
08/07/2011 19.00,"15,1","15,3","0,8","0,2","97,2"
08/07/2011 20.00,"20,4","20,4","1,3","0,2","84,4"
08/07/2011 21.00,"21,8","22,3","0,7","0,2","63,1"
08/07/2011 22.00,"19,9",20,"0,4","0,2","51,7"
08/07/2011 23.00,"16,2","16,3","0,4","0,3","54,9"
09/07/2011 0.00,"13,5","13,2","0,4","0,3","65,5"
09/07/2011 1.00,18,"17,5","0,5","0,3","41,9"
09/07/2011 2.00,,,"0,4","0,3",29
09/07/2011 3.00,,,"0,7","0,3",44
09/07/2011 4.00,"22,5","22,1",,"0,3","51,9"
09/07/2011 5.00,"25,5","25,3","0,5","0,3",
09/07/2011 6.00,"34,8","32,2","0,7","0,5",35
09/07/2011 7.00,"37,4","31,6","2,5","0,5","46,2"
09/07/2011 8.00,36,"29,9","3,7","0,5","60,3"
09/07/2011 9.00,"24,5","22,1","8,4","0,4","93,3"
09/07/2011 10.00,"21,5","21,3",6,"0,4","120,3"
09/07/2011 11.00,"15,6","14,9","3,9","0,4","112,9"
09/07/2011 12.00,"12,4","11,3","2,3","0,4","106,3"
09/07/2011 13.00,"9,1","8,6","1,7","0,3","100,7"
09/07/2011 14.00,8,"7,9","1,4","0,3","99,8"
09/07/2011 15.00,"8,6","8,2","1,2","0,3","101,9"
09/07/2011 16.00,"7,9",8,"1,2","0,3",105
09/07/2011 17.00,"11,6","10,3","1,1","0,4","105,2"
09/07/2011 18.00,"10,9","10,9",1,"0,3","100,8"
09/07/2011 19.00,"13,2","13,1","1,7","0,4",97
09/07/2011 20.00,19,"18,8","3,7","0,3","88,6"
09/07/2011 21.00,"22,2","22,2","1,9","0,3","63,7"
09/07/2011 22.00,"27,3","27,2","0,6","0,3","43,2"
09/07/2011 23.00,"21,8","21,8","0,5","0,3",34
10/07/2011 0.00,"24,2",24,"0,5","0,3","27,7"
10/07/2011 1.00,"21,6","21,4","0,3","0,3","30,3"
10/07/2011 2.00,"21,4","21,3","0,3","0,3","32,3"
10/07/2011 3.00,"18,8","18,8","0,3","0,3","36,5"
10/07/2011 4.00,16,"16,4","0,2","0,3","37,3"
10/07/2011 5.00,"22,9","22,3","0,2","0,3","30,3"
10/07/2011 6.00,"27,7","25,8","1,7","0,4","32,3"
10/07/2011 7.00,"26,4","24,4",3,"0,4","42,5"
10/07/2011 8.00,"24,4",22,"4,2","0,4","72,8"
10/07/2011 9.00,"12,7","12,2",4,"0,4","103,7"
10/07/2011 10.00,"12,3","11,8","3,4","0,4","110,3"
10/07/2011 11.00,"18,9","17,8","5,6","0,4","120,2"
10/07/2011 12.00,16,"14,8","6,8","0,3","116,2"
10/07/2011 13.00,"15,5","14,2","7,1","0,3","110,4"
10/07/2011 14.00,"31,8","26,5","15,4","0,3","93,1"
10/07/2011 15.00,"8,9","8,1",3,"0,3","105,7"
10/07/2011 16.00,"6,4","6,6","2,3","0,3","108,3"
10/07/2011 17.00,"7,8","7,8","1,4","0,3","108,9"
10/07/2011 18.00,"8,8","9,4","1,8","0,3","102,8"
10/07/2011 19.00,"10,7","10,4","1,3","0,3",97
10/07/2011 20.00,19,"18,5","1,7","0,3",81
10/07/2011 21.00,"21,8","21,5",2,"0,3","51,5"
10/07/2011 22.00,"35,7","35,3",2,"0,3","37,2"
10/07/2011 23.00,"33,4","33,1","2,6","0,3","32,9"
11/07/2011 0.00,"36,9","36,6","2,1","0,3","31,8"
11/07/2011 1.00,"32,4","31,9","0,4","0,3","30,4"
11/07/2011 2.00,,,"0,5","0,3","35,4"
11/07/2011 3.00,,,"0,3",,"34,2"
11/07/2011 4.00,"31,2",31,,"0,3","40,6"
11/07/2011 5.00,"32,4","31,9","0,3","0,4","42,3"
11/07/2011 6.00,"36,4","34,6","0,7","0,4","49,5"
11/07/2011 7.00,"35,1","31,2","1,7","0,4","62,4"
11/07/2011 8.00,27,"23,6","2,9","0,4","77,5"
11/07/2011 9.00,"34,5","30,1",6,"0,4","84,3"
11/07/2011 10.00,"45,5","35,1","13,8","0,4","86,2"
11/07/2011 11.00,"29,1","26,7","11,2","0,4","118,3"
11/07/2011 12.00,"21,3","20,1","7,6","0,4","123,6"
11/07/2011 13.00,"14,5","13,6","6,2","0,4","116,7"
11/07/2011 14.00,"14,3","13,5","7,5","0,3","116,7"
11/07/2011 15.00,"14,1","13,1","8,1","0,3","112,2"
11/07/2011 16.00,"10,9","10,6","4,4","0,3","112,5"
11/07/2011 17.00,"12,1","12,1","2,2","0,3","108,1"
11/07/2011 18.00,"19,8","18,8",3,"0,3","108,3"
11/07/2011 19.00,"21,3","19,6","1,4","0,3","93,6"
11/07/2011 20.00,"23,4","22,7","1,8","0,4",92
11/07/2011 21.00,"35,9","34,5","2,7","0,3","75,6"
11/07/2011 22.00,"27,5","27,8","1,5","0,4","64,7"
11/07/2011 23.00,18,"18,2","0,6","0,3","78,6"
12/07/2011 0.00,"16,6","16,4","0,5","0,3","79,1"
12/07/2011 1.00,"13,2","13,1","0,3","0,3",81
12/07/2011 2.00,"12,3",12,"0,5","0,2","81,5"
12/07/2011 3.00,"12,3","12,1","0,7","0,2",80
12/07/2011 4.00,"15,1","14,6","0,9","0,2","76,6"
12/07/2011 5.00,"20,7","20,6","0,5","0,3","64,3"
12/07/2011 6.00,"23,3","21,9","0,7","0,3","61,2"
12/07/2011 7.00,"26,7","24,2","0,9","0,3","65,9"
12/07/2011 8.00,"23,1","21,1",2,"0,3","81,3"
12/07/2011 9.00,"17,6","16,4","2,4","0,3","91,4"
12/07/2011 10.00,"16,8","15,6","1,4","0,4","97,4"
12/07/2011 11.00,,,,,
12/07/2011 12.00,"13,7","11,8","0,8","0,4","106,4"
12/07/2011 13.00,"15,9","14,2","1,5","0,3","110,4"
12/07/2011 14.00,"14,5","13,4","1,8","0,3","111,8"
12/07/2011 15.00,"9,9","9,9","1,7","0,3","111,5"
12/07/2011 16.00,11,"10,5","1,7","0,3","107,9"
12/07/2011 17.00,"11,6",11,"1,4","0,3","107,1"
12/07/2011 18.00,"14,7","12,4","1,1","0,3","108,7"
12/07/2011 19.00,"13,8","12,7","1,2","0,3","104,3"
12/07/2011 20.00,"15,8","15,1",1,"0,3","102,8"
12/07/2011 21.00,"15,3","14,3",1,"0,3",97
12/07/2011 22.00,12,"11,6","0,6","0,3","93,2"
12/07/2011 23.00,"14,3",14,"0,8","0,3","80,9"
13/07/2011 0.00,"14,5","14,5","0,7","0,3","77,3"
13/07/2011 1.00,"11,1","11,3","1,1","0,3","81,8"
13/07/2011 2.00,,,1,"0,3","77,8"
13/07/2011 3.00,,,"0,9","0,3","74,1"
13/07/2011 4.00,"17,3","16,8",,"0,3","79,5"
13/07/2011 5.00,"16,8","16,5","0,3","0,3",
13/07/2011 6.00,"19,8","19,1","0,5","0,3","75,8"
13/07/2011 7.00,"20,9","19,8","0,5","0,3",79
13/07/2011 8.00,"19,9","18,3","0,6","0,3","85,6"
13/07/2011 9.00,"19,5","17,9","0,8","0,4","91,6"
13/07/2011 10.00,"18,8","16,9","1,1","0,4","99,4"
13/07/2011 11.00,"19,6",18,3,"0,5","113,9"
13/07/2011 12.00,"21,7","20,3","2,6","0,3","101,3"
13/07/2011 13.00,"32,4","28,1","6,2","0,2","88,2"
13/07/2011 14.00,"60,4","47,4","27,4","0,2","67,6"
13/07/2011 15.00,"19,2",17,"14,6","0,2",90
13/07/2011 16.00,"9,5","9,2","4,1","0,2","101,7"
13/07/2011 17.00,"9,3","9,1","2,7","0,2","105,1"
13/07/2011 18.00,"12,7","11,9","2,2","0,2","99,8"
13/07/2011 19.00,"13,3","13,3",2,"0,3","96,2"
13/07/2011 20.00,22,"20,2","1,8","0,3","81,1"
13/07/2011 21.00,22,"21,1","1,7","0,3","75,2"
13/07/2011 22.00,"15,3","15,2","1,2","0,3","95,1"
13/07/2011 23.00,"13,5",13,"0,8","0,3","80,9"
14/07/2011 0.00,"11,9","11,3","0,4","0,3","77,2"
14/07/2011 1.00,11,"10,8","1,1","0,3","74,9"
14/07/2011 2.00,"10,9","10,5","1,2","0,3","61,1"
14/07/2011 3.00,"11,2","10,7","0,7",,"47,4"
14/07/2011 4.00,"11,1","10,9","0,5","0,2","38,1"
14/07/2011 5.00,"12,6","11,9","0,4","0,3","33,6"
14/07/2011 6.00,"18,9","17,1","0,3","0,3","37,1"
14/07/2011 7.00,"29,5","24,1","0,8","0,3",49
14/07/2011 8.00,"32,3","25,9","1,1","0,3","69,5"
14/07/2011 9.00,"22,5","19,2","1,6","0,2","94,1"
14/07/2011 10.00,"19,7","17,2","1,8","0,2","110,9"
14/07/2011 11.00,"23,5","18,7","1,8","0,2",111
14/07/2011 12.00,"17,9","15,2","1,7","0,2","109,4"
14/07/2011 13.00,13,"11,2","1,9","0,2","112,1"
14/07/2011 14.00,"11,6","10,1","1,9","0,2","109,6"
14/07/2011 15.00,"10,1","8,9","1,9","0,2","110,7"
14/07/2011 16.00,"10,8","9,8","1,9","0,2","107,2"
14/07/2011 17.00,14,12,"1,9","0,2","103,5"
14/07/2011 18.00,18,"14,9","1,8","0,2","99,6"
14/07/2011 19.00,"20,6","18,9","1,9","0,2","102,3"
14/07/2011 20.00,"23,7","21,7","2,2","0,3","102,8"
